"subject"	"group"	"part"	"sequence"	"weight"	"response"
1	2	1	"1"	11	5
1	2	1	"1"	12	7
1	2	1	"1"	13	8
1	2	1	"1"	14	8
1	2	1	"1"	15	5
1	2	1	"2"	11	4
1	2	1	"2"	12	2
1	2	1	"2"	13	5
1	2	1	"2"	14	4
1	2	1	"2"	15	8
1	2	1	"3"	11	4
1	2	1	"3"	12	6
1	2	1	"3"	13	8
1	2	1	"3"	14	5
1	2	1	"3"	15	8
1	2	1	"4"	11	1
1	2	1	"4"	12	2
1	2	1	"4"	13	1
1	2	1	"4"	14	6
1	2	1	"4"	15	9
1	2	1	"5"	11	1
1	2	1	"5"	12	6
1	2	1	"5"	13	2
1	2	1	"5"	14	9
1	2	1	"5"	15	8
1	2	1	"6"	11	4
1	2	1	"6"	12	4
1	2	1	"6"	13	9
1	2	1	"6"	14	6
1	2	1	"6"	15	5
1	2	1	"7"	11	5
1	2	1	"7"	12	6
1	2	1	"7"	13	5
1	2	1	"7"	14	2
1	2	1	"7"	15	5
1	2	1	"8"	11	3
1	2	1	"8"	12	8
1	2	1	"8"	13	5
1	2	1	"8"	14	6
1	2	1	"8"	15	9
1	2	1	"9"	11	7
1	2	1	"9"	12	8
1	2	1	"9"	13	8
1	2	1	"9"	14	8
1	2	1	"9"	15	9
1	2	1	"10"	11	5
1	2	1	"10"	12	8
1	2	1	"10"	13	3
1	2	1	"10"	14	4
1	2	1	"10"	15	9
1	2	2	"1"	6	4
1	2	2	"1"	7	2
1	2	2	"1"	8	5
1	2	2	"1"	9	5
1	2	2	"1"	10	1
1	2	2	"2"	6	8
1	2	2	"2"	7	8
1	2	2	"2"	8	5
1	2	2	"2"	9	6
1	2	2	"2"	10	8
1	2	2	"3"	6	2
1	2	2	"3"	7	7
1	2	2	"3"	8	6
1	2	2	"3"	9	5
1	2	2	"3"	10	6
1	2	2	"4"	6	7
1	2	2	"4"	7	8
1	2	2	"4"	8	8
1	2	2	"4"	9	9
1	2	2	"4"	10	9
1	2	2	"5"	6	6
1	2	2	"5"	7	8
1	2	2	"5"	8	7
1	2	2	"5"	9	9
1	2	2	"5"	10	9
1	2	2	"6"	6	8
1	2	2	"6"	7	7
1	2	2	"6"	8	6
1	2	2	"6"	9	6
1	2	2	"6"	10	9
1	2	2	"7"	6	5
1	2	2	"7"	7	5
1	2	2	"7"	8	7
1	2	2	"7"	9	9
1	2	2	"7"	10	8
1	2	2	"8"	6	4
1	2	2	"8"	7	5
1	2	2	"8"	8	7
1	2	2	"8"	9	6
1	2	2	"8"	10	8
1	2	2	"9"	6	7
1	2	2	"9"	7	6
1	2	2	"9"	8	7
1	2	2	"9"	9	9
1	2	2	"9"	10	8
1	2	2	"10"	6	4
1	2	2	"10"	7	4
1	2	2	"10"	8	6
1	2	2	"10"	9	8
1	2	2	"10"	10	7
2	1	1	"1"	1	3
2	1	1	"1"	2	3
2	1	1	"1"	3	7
2	1	1	"1"	4	5
2	1	1	"1"	5	6
2	1	1	"2"	1	2
2	1	1	"2"	2	6
2	1	1	"2"	3	2
2	1	1	"2"	4	2
2	1	1	"2"	5	8
2	1	1	"3"	1	3
2	1	1	"3"	2	8
2	1	1	"3"	3	9
2	1	1	"3"	4	9
2	1	1	"3"	5	9
2	1	1	"4"	1	2
2	1	1	"4"	2	6
2	1	1	"4"	3	8
2	1	1	"4"	4	8
2	1	1	"4"	5	9
2	1	1	"5"	1	6
2	1	1	"5"	2	6
2	1	1	"5"	3	6
2	1	1	"5"	4	5
2	1	1	"5"	5	9
2	1	1	"6"	1	4
2	1	1	"6"	2	8
2	1	1	"6"	3	4
2	1	1	"6"	4	8
2	1	1	"6"	5	9
2	1	1	"7"	1	5
2	1	1	"7"	2	5
2	1	1	"7"	3	6
2	1	1	"7"	4	8
2	1	1	"7"	5	8
2	1	1	"8"	1	2
2	1	1	"8"	2	6
2	1	1	"8"	3	4
2	1	1	"8"	4	8
2	1	1	"8"	5	9
2	1	1	"9"	1	5
2	1	1	"9"	2	4
2	1	1	"9"	3	6
2	1	1	"9"	4	8
2	1	1	"9"	5	9
2	1	1	"10"	1	5
2	1	1	"10"	2	5
2	1	1	"10"	3	4
2	1	1	"10"	4	6
2	1	1	"10"	5	9
2	1	2	"1"	6	8
2	1	2	"1"	7	6
