"subject"	"group"	"congruency"	"result"	"rt"
11	"test"	"incongruent"	"correct"	0.788
11	"test"	"incongruent"	"correct"	0.641
11	"test"	"congruent"	"correct"	0.459
11	"test"	"congruent"	"correct"	0.501
11	"test"	"incongruent"	"correct"	0.737
11	"test"	"incongruent"	"correct"	0.516
11	"test"	"congruent"	"correct"	0.499
11	"test"	"congruent"	"correct"	0.504
11	"test"	"congruent"	"correct"	0.534
11	"test"	"incongruent"	"correct"	0.648
11	"test"	"incongruent"	"incorrect"	0.697
11	"test"	"congruent"	"correct"	0.455
11	"test"	"incongruent"	"correct"	0.601
11	"test"	"congruent"	"correct"	0.488
11	"test"	"congruent"	"correct"	0.564
11	"test"	"incongruent"	"correct"	0.818
11	"test"	"congruent"	"correct"	0.516
11	"test"	"incongruent"	"correct"	0.547
11	"test"	"congruent"	"correct"	0.485
11	"test"	"incongruent"	"correct"	0.484
11	"test"	"congruent"	"correct"	0.532
11	"test"	"congruent"	"correct"	0.502
11	"test"	"incongruent"	"correct"	0.648
11	"test"	"incongruent"	"correct"	0.628
11	"test"	"incongruent"	"correct"	0.558
11	"test"	"congruent"	"correct"	0.579
11	"test"	"incongruent"	"incorrect"	0.357
11	"test"	"congruent"	"correct"	0.323
11	"test"	"incongruent"	"correct"	0.618
11	"test"	"incongruent"	"incorrect"	0.405
11	"test"	"congruent"	"correct"	0.371
11	"test"	"congruent"	"correct"	0.564
11	"test"	"incongruent"	"correct"	0.573
11	"test"	"incongruent"	"incorrect"	0.63
11	"test"	"congruent"	"correct"	0.532
11	"test"	"congruent"	"correct"	0.465
11	"test"	"congruent"	"correct"	0.462
11	"test"	"incongruent"	"correct"	0.602
11	"test"	"incongruent"	"correct"	0.566
11	"test"	"congruent"	"correct"	0.454
11	"test"	"congruent"	"correct"	0.601
11	"test"	"incongruent"	"correct"	0.84
11	"test"	"congruent"	"correct"	0.979
11	"test"	"incongruent"	"incorrect"	0.386
11	"test"	"congruent"	"correct"	0.58
11	"test"	"incongruent"	"correct"	0.682
11	"test"	"incongruent"	"incorrect"	0.617
11	"test"	"congruent"	"correct"	0.645
11	"test"	"congruent"	"correct"	0.62
11	"test"	"incongruent"	"correct"	0.701
11	"test"	"congruent"	"correct"	0.781
11	"test"	"incongruent"	"correct"	0.673
11	"test"	"congruent"	"correct"	0.43
11	"test"	"congruent"	"correct"	0.423
11	"test"	"incongruent"	"correct"	0.892
11	"test"	"incongruent"	"correct"	0.56
11	"test"	"incongruent"	"correct"	0.553
11	"test"	"congruent"	"correct"	0.535
11	"test"	"congruent"	"correct"	0.505
11	"test"	"incongruent"	"correct"	0.483
11	"test"	"incongruent"	"correct"	0.585
11	"test"	"congruent"	"correct"	0.434
11	"test"	"congruent"	"correct"	0.598
11	"test"	"incongruent"	"correct"	0.751
11	"test"	"incongruent"	"correct"	0.578
