subject	group	session	direction	congruency	acc	rt
HG12	HG	2	right	incongruent	correct	0.788
HG12	HG	2	left	incongruent	correct	0.641
HG12	HG	2	right	congruent	correct	0.459
HG12	HG	2	left	congruent	correct	0.501
HG12	HG	2	right	incongruent	correct	0.737
HG12	HG	2	left	incongruent	correct	0.516
HG12	HG	2	right	congruent	correct	0.499
HG12	HG	2	left	congruent	correct	0.504
HG12	HG	2	right	congruent	correct	0.534
HG12	HG	2	left	incongruent	correct	0.648
HG12	HG	2	right	incongruent	incorrect	0.697
HG12	HG	2	left	congruent	correct	0.455
HG12	HG	2	right	incongruent	correct	0.601
HG12	HG	2	left	congruent	correct	0.488
HG12	HG	2	right	congruent	correct	0.564
HG12	HG	2	left	incongruent	correct	0.818
HG12	HG	2	right	congruent	correct	0.516
HG12	HG	2	left	incongruent	correct	0.547
HG12	HG	2	left	congruent	correct	0.485
HG12	HG	2	right	incongruent	correct	0.484
HG12	HG	2	right	congruent	correct	0.532
HG12	HG	2	left	congruent	correct	0.502
HG12	HG	2	left	incongruent	correct	0.648
HG12	HG	2	right	incongruent	correct	0.628
HG12	HG	2	left	incongruent	correct	0.558
HG12	HG	2	right	congruent	correct	0.579
HG12	HG	2	right	incongruent	incorrect	0.357
HG12	HG	2	left	congruent	correct	0.323
HG12	HG	2	right	incongruent	correct	0.618
HG12	HG	2	left	incongruent	incorrect	0.405
HG12	HG	2	right	congruent	correct	0.371
HG12	HG	2	left	congruent	correct	0.564
HG12	HG	2	right	incongruent	correct	0.573
HG12	HG	2	left	incongruent	incorrect	0.630
HG12	HG	2	left	congruent	correct	0.532
HG12	HG	2	right	congruent	correct	0.465
HG12	HG	2	left	congruent	correct	0.462
HG12	HG	2	right	incongruent	correct	0.602
HG12	HG	2	left	incongruent	correct	0.566
HG12	HG	2	right	congruent	correct	0.454
HG12	HG	2	right	congruent	correct	0.601
HG12	HG	2	right	incongruent	correct	0.840
HG12	HG	2	left	congruent	correct	0.979
HG12	HG	2	left	incongruent	incorrect	0.386
HG12	HG	2	left	congruent	correct	0.580
HG12	HG	2	left	incongruent	correct	0.682
HG12	HG	2	right	incongruent	incorrect	0.617
HG12	HG	2	right	congruent	correct	0.645
HG12	HG	2	left	congruent	correct	0.620
HG12	HG	2	right	incongruent	correct	0.701
HG12	HG	2	right	congruent	correct	0.781
HG12	HG	2	left	incongruent	correct	0.673
HG12	HG	2	right	congruent	correct	0.430
HG12	HG	2	left	congruent	correct	0.423
HG12	HG	2	left	incongruent	correct	0.892
HG12	HG	2	right	incongruent	correct	0.560
HG12	HG	2	left	incongruent	correct	0.553
HG12	HG	2	right	congruent	correct	0.535
HG12	HG	2	left	congruent	correct	0.505
HG12	HG	2	right	incongruent	correct	0.483
HG12	HG	2	left	incongruent	correct	0.585
HG12	HG	2	right	congruent	correct	0.434
HG12	HG	2	left	congruent	correct	0.598
HG12	HG	2	right	incongruent	correct	0.751
HG12	HG	2	left	incongruent	correct	0.578
HG12	HG	2	right	incongruent	correct	0.993
HG12	HG	2	left	congruent	correct	0.622
HG12	HG	2	right	congruent	correct	0.612
HG12	HG	2	left	congruent	correct	0.677
HG12	HG	2	right	congruent	correct	0.665
HG12	HG	2	left	incongruent	correct	1.093
HG12	HG	2	right	incongruent	correct	0.500
HG12	HG	2	left	congruent	correct	0.477
HG12	HG	2	right	incongruent	correct	0.496
HG12	HG	2	left	incongruent	correct	0.669
HG12	HG	2	right	congruent	correct	0.492
HG12	HG	2	right	congruent	correct	0.485
HG12	HG	2	left	incongruent	correct	0.586
HG12	HG	2	left	congruent	correct	0.552
HG12	HG	2	right	incongruent	correct	0.511
HG12	HG	2	left	congruent	correct	0.485
HG12	HG	2	right	congruent	correct	0.515
HG12	HG	2	right	incongruent	correct	0.495
HG12	HG	2	left	incongruent	correct	0.572
HG12	HG	2	right	incongruent	correct	0.602
HG12	HG	2	left	incongruent	correct	0.576
HG12	HG	2	left	congruent	correct	0.603
HG12	HG	2	right	congruent	correct	0.469
HG12	HG	2	right	incongruent	incorrect	0.744
HG12	HG	2	right	congruent	correct	0.493
HG12	HG	2	left	incongruent	correct	0.620
HG12	HG	2	left	congruent	correct	0.740
HG12	HG	2	right	congruent	correct	0.487
HG12	HG	2	left	incongruent	correct	0.695
HG12	HG	2	left	congruent	correct	0.619
HG12	HG	2	right	incongruent	correct	1.347
HG01	HG	2	right	congruent	correct	0.545
HG01	HG	2	right	incongruent	correct	1.051
HG01	HG	2	left	congruent	correct	0.425
HG01	HG	2	left	incongruent	correct	1.063
HG01	HG	2	right	congruent	correct	0.531
HG01	HG	2	right	incongruent	correct	1.093
HG01	HG	2	left	congruent	correct	0.418
HG01	HG	2	left	incongruent	correct	0.610
HG01	HG	2	right	incongruent	correct	0.650
HG01	HG	2	left	incongruent	correct	0.874
HG01	HG	2	left	congruent	correct	0.490
HG01	HG	2	right	congruent	correct	0.407
HG01	HG	2	left	incongruent	correct	0.551
HG01	HG	2	left	congruent	correct	0.507
HG01	HG	2	right	congruent	correct	0.418
HG01	HG	2	right	incongruent	correct	0.859
HG01	HG	2	right	congruent	correct	0.520
HG01	HG	2	left	congruent	correct	0.534
HG01	HG	2	left	incongruent	correct	0.966
HG01	HG	2	right	incongruent	correct	0.537
HG01	HG	2	right	congruent	correct	0.519
HG01	HG	2	left	congruent	correct	0.578
HG01	HG	2	left	incongruent	correct	0.868
HG01	HG	2	right	incongruent	correct	0.792
HG01	HG	2	left	incongruent	correct	0.862
HG01	HG	2	right	incongruent	correct	0.733
HG01	HG	2	right	congruent	correct	0.478
HG01	HG	2	left	congruent	correct	0.556
HG01	HG	2	left	congruent	correct	0.553
HG01	HG	2	left	incongruent	correct	0.703
HG01	HG	2	right	incongruent	correct	0.789
HG01	HG	2	right	congruent	correct	0.617
HG01	HG	2	right	incongruent	correct	0.558
HG01	HG	2	right	congruent	correct	0.395
HG01	HG	2	left	incongruent	correct	0.651
HG01	HG	2	left	congruent	correct	0.627
HG01	HG	2	left	incongruent	correct	0.921
HG01	HG	2	right	incongruent	correct	0.638
HG01	HG	2	right	congruent	correct	0.890
HG01	HG	2	left	congruent	correct	0.459
HG01	HG	2	left	incongruent	correct	1.833
HG01	HG	2	right	incongruent	correct	0.868
HG01	HG	2	right	congruent	correct	0.564
HG01	HG	2	left	congruent	correct	0.485
HG01	HG	2	left	incongruent	correct	0.614
HG01	HG	2	right	incongruent	correct	0.466
HG01	HG	2	right	congruent	correct	0.727
HG01	HG	2	left	congruent	correct	0.464
HG01	HG	2	right	incongruent	correct	0.997
HG01	HG	2	left	congruent	correct	0.462
HG01	HG	2	right	congruent	correct	0.518
