"subject"	"cond"	"rt"	"acc"	"age"
"R08T1-D"	"neutral"	800.529200002551	1	75
"R08T1-D"	"verbal"	2100.81769999862	1	75
"R08T1-D"	"incongruent"	887.127600003034	1	75
"R08T1-D"	"congruent"	1000.34399999678	1	75
"R08T1-D"	"incongruent"	888.999099999666	1	75
"R08T1-D"	"neutral"	1284.14710000157	1	75
"R08T1-D"	"verbal"	1230.50549999997	1	75
"R08T1-D"	"congruent"	1844.02259999886	1	75
"R08T1-D"	"verbal"	1504.5492000021	1	75
"R08T1-D"	"incongruent"	1576.14889999852	1	75
"R08T1-D"	"neutral"	996.907299999148	1	75
"R08T1-D"	"congruent"	935.619800005108	1	75
"R08T1-D"	"verbal"	1921.5970999971	1	75
"R08T1-D"	"incongruent"	1732.16330000013	1	75
"R08T1-D"	"neutral"	906.308399997652	1	75
"R08T1-D"	"congruent"	1117.92130000144	1	75
"R08T1-D"	"verbal"	1192.38500000164	1	75
"R08T1-D"	"neutral"	1395.81499999762	1	75
"R08T1-D"	"incongruent"	1174.12560000271	1	75
"R08T1-D"	"congruent"	1084.75739999861	1	75
"R08T1-D"	"verbal"	1197.39820000157	1	75
"R08T1-D"	"neutral"	1310.19869999588	1	75
"R08T1-D"	"incongruent"	1642.58700000495	1	75
"R08T1-D"	"congruent"	1093.67200000212	0	75
"R08T1-D"	"incongruent"	960.804899998009	0	75
"R08T1-D"	"verbal"	903.469099998474	1	75
"R08T1-D"	"incongruent"	2393.67760000005	1	75
"R08T1-D"	"neutral"	828.706200003624	1	75
"R08T1-D"	"congruent"	1262.95600000024	1	75
"R08T1-D"	"verbal"	1275.96649999544	1	75
"R08T1-D"	"neutral"	1147.05730000138	1	75
"R08T1-D"	"incongruent"	1813.72659999877	1	75
"R08T1-D"	"congruent"	838.006200000644	1	75
"R08T1-D"	"verbal"	1717.99490000308	1	75
"R08T1-D"	"congruent"	1164.14130000025	0	75
"R08T1-D"	"incongruent"	1617.42339999974	0	75
"R08T1-D"	"verbal"	886.270000003278	0	75
"R08T1-D"	"incongruent"	945.623999997973	0	75
"R08T1-D"	"neutral"	1040.31509999931	1	75
"R08T1-D"	"congruent"	7394.96639999747	1	75
"R08T1-D"	"verbal"	1869.17620000243	1	75
"R08T1-D"	"neutral"	1501.61080000177	1	75
"R08T1-D"	"incongruent"	2434.0869999975	0	75
"R08T1-D"	"congruent"	1395.78380000219	0	75
"R08T1-D"	"verbal"	1338.45649999753	0	75
"R08T1-D"	"congruent"	1351.43090000376	0	75
"R08T1-D"	"verbal"	1198.43829999492	0	75
"R08T1-D"	"incongruent"	1250.83220000193	0	75
"R08T1-D"	"neutral"	1620.41579999775	0	75
"R08T1-D"	"congruent"	1245.68720000237	0	75
"R08T1-D"	"verbal"	1372.71609999985	0	75
"R08T1-D"	"neutral"	5799.80759999901	1	75
"R08T1-D"	"incongruent"	1803.60940000415	1	75
"R08T1-D"	"congruent"	1185.24129999802	1	75
"R08T1-D"	"verbal"	1538.88279999793	1	75
"R08T1-D"	"neutral"	1833.93090000004	1	75
"R08T1-D"	"congruent"	1391.78040000424	1	75
"R08T1-D"	"incongruent"	1462.29119999707	1	75
"R08T1-D"	"verbal"	1533.73839999735	1	75
"R08T1-D"	"incongruent"	2193.3767000027	1	75
"R08T1-D"	"neutral"	1754.34180000052	1	75
"R08T1-D"	"congruent"	1407.92060000077	1	75
"R08T1-D"	"incongruent"	1606.29870000109	1	75
"R08T1-D"	"verbal"	537.853900000453	1	75
"R08T1-D"	"neutral"	903.303899999708	1	75
"R08T1-D"	"congruent"	773.419900000095	1	75
"R08T1-D"	"neutral"	780.509399998933	1	75
"R08T1-D"	"incongruent"	1223.58819999918	1	75
"R08T1-D"	"verbal"	919.42650000006	1	75
"R08T1-D"	"incongruent"	1356.51420000196	1	75
"R08T1-D"	"neutral"	1200.56049999967	1	75
"R08T1-D"	"congruent"	928.427899997681	1	75
"R08T1-D"	"neutral"	1152.08810000122	1	75
"R08T1-D"	"verbal"	843.420299999416	1	75
"R08T1-D"	"incongruent"	1472.86620000005	1	75
"R08T1-D"	"verbal"	860.003299999982	0	75
"R08T1-D"	"congruent"	4326.61639999971	1	75
"R08T1-D"	"neutral"	729.058499999344	1	75
"R08T1-D"	"incongruent"	1465.35010000318	1	75
"R08T1-D"	"verbal"	2655.59929999709	1	75
"R08T1-D"	"congruent"	1292.00670000166	1	75
"R08T1-D"	"incongruent"	1750.42000000179	1	75
"R08T1-D"	"neutral"	1140.94539999962	1	75
"R08T1-D"	"verbal"	1757.33320000023	1	75
